Cuestionario,Pregunta,Respuesta
DERECHO PROCESAL CIVIL,4,"Al admitir la demanda, el juez puede ordenar las medidas que estime pertinentes.Falso (El juez puede mandar practicar las medidas que le solicite el actor, si son procedentes para el juicio)."
DERECHO PROCESAL CIVIL,5,La prescripción del derecho sustantivo es el elemento más importante que se debe considerar para determinar el tiempo en que se debe presentar la demanda.Verdadero
DERECHO PROCESAL CIVIL,6,"En la jurisdicción de la Ciudad de México, por regla general, al admitirse la demanda ya no puede modificarse.Verdadero"
DERECHO PROCESAL CIVIL,7,El desistimiento de la demanda o de la instancia es una institución procesal disponible para el actor en caso de que pretenda modificar su demanda.Verdadero
DERECHO PROCESAL CIVIL,8,"Ante un defecto insubsanable, el juez debe desechar la demanda.Verdadero"
DERECHO PROCESAL CIVIL,9,La demanda debe presentarse ante el órgano jurisdiccional o juzgado que elija el actor.Falso (La demanda debe presentarse ante la oficialía de partes común del Tribunal Superior de Justicia correspondiente).
DERECHO PROCESAL CIVIL,10,El emplazamiento es la medida más importante que el juez debe ordenar al admitir la demanda.Verdadero
DERECHO PROCESAL CIVIL,1,Este documento forzosamente debe acompañarse a toda demanda inicial.c) Documento base de la acción
DERECHO PROCESAL CIVIL,2,"Son los elementos documentales encaminados a demostrar la personalidad o representación legal de quien promueve, y necesariamente deben ofrecerse en toda demanda inicial.e) El poder con el que se acredite la personalidad del apoderado"
DERECHO PROCESAL CIVIL,3,Está a cargo del actor expresar y aportar estos elementos como forma de probar posteriormente los hechos que relata en su demanda.d) El nombre de los testigos que los presenciaron
DERECHO PROCESAL CIVIL,4,Este medio probatorio puede ofrecerse desde la demanda inicial.h) La confesional
DERECHO PROCESAL CIVIL,5,"Son los elementos materiales que, sin tener una finalidad probatoria, deben acompañarse a la demanda.a) Copias simples de la demanda y documentos anexos para correr traslado al demandado"
DERECHO PROCESAL CIVIL,6,Es el nombre con el que se identifica la omisión o incumplimiento de alguno o algunos requisitos que la ley exige para formular la demanda.b) Defecto de la demanda
DERECHO PROCESAL CIVIL,7,Son los defectos que permiten su enmienda ya que no modifican la esencia de la demanda.i) Subsanables
DERECHO PROCESAL CIVIL,8,"Son los defectos que no permiten su enmienda, ya que de hacerlo se modificaría la esencia de la demanda pues cambiaría su sentido.g) Insubsanables"
DERECHO PROCESAL CIVIL,9,"Es el tipo de documentos que por excepción, en vía de prueba se pueden ofrecer después del periodo de ofrecimiento de pruebas.j) Supervenientes"
DERECHO PROCESAL CIVIL,10,Es un ejemplo de elemento esencial.f) Firma del actor
DERECHO PROCESAL CIVIL,1,Este tipo de emplazamiento debe realizarse directamente con el interesado.9) Personal
DERECHO PROCESAL CIVIL,2,Esta forma de emplazamiento debe realizarse por medio de publicaciones en periódicos y en el Boletín Judicial.5) Edictos
DERECHO PROCESAL CIVIL,3,"Para realizar este tipo de emplazamiento, se requiere entenderlo con una persona que viva en el domicilio del interesado.4) Cédula"
DERECHO PROCESAL CIVIL,4,Estamos en presencia de este emplazamiento cuando fue realizado cumpliendo todos los requisitos exigibles.8) Legal
DERECHO PROCESAL CIVIL,5,Se le denomina al emplazamiento que no cumplió con uno o algunos de los requisitos establecidos en la ley.6) Ilegal
DERECHO PROCESAL CIVIL,6,Es el documento que debe levantar el actuario al realizar el emplazamiento.2) Acta
DERECHO PROCESAL CIVIL,7,Es la vía para reclamar la nulidad de un emplazamiento ilegal antes de la sentencia.7) Incidental
DERECHO PROCESAL CIVIL,8,Este emplazamiento se realiza fijando los documentos en la puerta del domicilio donde vive el demandado.3) Adhesión
DERECHO PROCESAL CIVIL,9,Es el artículo constitucional con el que se vincula directamente el emplazamiento.1) 14
DERECHO PROCESAL CIVIL,10,"Tratándose de personas morales, es con quien debe entenderse el emplazamiento.10) Representante"
DERECHO PROCESAL CIVIL,1,El emplazamiento por cédula puede entenderse con cualquier persona que viva en el domicilio señalado.Verdadero
DERECHO PROCESAL CIVIL,2,Es opcional para el tribunal hacer saber al demandado el emplazamiento por medio de cédula o verbalmente.Falso
DERECHO PROCESAL CIVIL,3,"Para que un emplazamiento sea legal, es suficiente con que en la cédula se incluya el nombre de las partes y el nombre de la persona a quien se le entrega.Falso"
DERECHO PROCESAL CIVIL,4,"En el caso del emplazamiento por cédula, es ilegal si se entiende con los parientes del interesado.Falso"
DERECHO PROCESAL CIVIL,5,"Al realizarse el emplazamiento, el actuario debe entregar al interesado la cédula de notificación, así como una copia de la demanda sellada y cotejada y otra copia de los documentos que se hubieran acompañado.Verdadero"
DERECHO PROCESAL CIVIL,6,"Tratándose de embargos, el ejecutor puede practicar la diligencia aun cuando no se encuentre el interesado.Falso"
DERECHO PROCESAL CIVIL,7,"Es legal el emplazamiento realizado por edictos cuando el actor manifestó al juez, bajo protesta de decir verdad, que desconocía el domicilio del demandado.Verdadero"
DERECHO PROCESAL CIVIL,8,"Al realizar la diligencia de emplazamiento, es optativo para el actuario asentar en el acta que levante los medios por los cuales se cercioró de que en el domicilio en que se constituyó es el domicilio del demandado.Falso"
DERECHO PROCESAL CIVIL,9,Es ilegal el emplazamiento por adhesión cuando se practica sin la presencia de testigos.Falso
DERECHO PROCESAL CIVIL,10,"Tratándose de personas morales, el emplazamiento puede entenderse con su representante legal.Verdadero"
DERECHO PROCESAL CIVIL,1,La prevención del juicio a favor de quien emplaza consiste en que cuando haya dos juicios iguales seguidos ante jueces diferentes debe prevalecer:b) El juez que primero haya emplazado.
DERECHO PROCESAL CIVIL,2,"Una vez emplazado, el demandado debe seguir el juicio ante:c) El juez que lo emplazó."
DERECHO PROCESAL CIVIL,3,"Con motivo del emplazamiento, el demandado debe ante el juez que lo emplazó.a) Contestar la demanda."
DERECHO PROCESAL CIVIL,4,La nulidad del emplazamiento se puede reclamar antes de que se dicte la sentencia por medio de un:d) Incidente de nulidad.
DERECHO PROCESAL CIVIL,5,Es un efecto del emplazamiento aplicable a las obligaciones pecuniarias y sin causa de réditos.e) Originar el interés legal.
DERECHO PROCESAL CIVIL,1,El allanamiento es una forma de concluir el juicio.Verdadero
DERECHO PROCESAL CIVIL,2,Las excepciones por su naturaleza se clasifican en procesales y de fondo.Verdadero
DERECHO PROCESAL CIVIL,3,La cosa juzgada es un ejemplo de excepción de fondo.Falso (Es una excepción procesal).
DERECHO PROCESAL CIVIL,4,La defensa es un ejemplo de excepción procesal.Falso (La defensa es una simple negación).
DERECHO PROCESAL CIVIL,5,Por medio de la reconvención el demandado puede reclamar al actor principal prestaciones que deriven de la misma causa por la que fue demandado.Verdadero
DERECHO PROCESAL CIVIL,1,El allanamiento a la demanda puede sujetarse al cumplimiento de las condiciones que fije el demandado.Falso
DERECHO PROCESAL CIVIL,2,El término para contestar la demanda es de 9 días.Falso
DERECHO PROCESAL CIVIL,3,El término para proponer reconvención es de 15 días.Verdadero
DERECHO PROCESAL CIVIL,4,Todas las excepciones procesales deben tramitarse en la vía incidental.Verdadero
DERECHO PROCESAL CIVIL,5,"Los hechos de la demanda que dejen de contestarse, se deben de presumir confesados.Verdadero"
DERECHO PROCESAL CIVIL,6,"El llamamiento a juicio a un tercero, debe hacerse al contestar la demanda.Verdadero"
DERECHO PROCESAL CIVIL,7,"La reconvención que se proponga debe notificarse personalmente, en el domicilio del demandado reconvencional.Falso"
DERECHO PROCESAL CIVIL,8,El allanamiento solo puede proceder respecto de la demanda principal.Falso
DERECHO PROCESAL CIVIL,9,"Por regla general, las excepciones procesales deben resolverse en la audiencia previa y de conciliación.Verdadero"
DERECHO PROCESAL CIVIL,10,Las excepciones de fondo deben resolverse en la sentencia definitiva.Verdadero
DERECHO PROCESAL CIVIL,1,La rebeldía implica una inacción o abstención de las partes en la realización de los actos procesales que les corresponden.Verdadero
DERECHO PROCESAL CIVIL,2,La rebeldía siempre es total.Falso (Puede haber rebeldía parcial).
DERECHO PROCESAL CIVIL,3,Un litigante rebelde ya no puede comparecer en juicio.Falso (Puede insertarse en el proceso cuando lo decida).
DERECHO PROCESAL CIVIL,4,Un litigante rebelde que comparece a juicio tiene derecho a que se repongan las etapas procesales que se realizaron sin su comparecencia.Falso (Puede comparecer en el estado en que se encuentre el juicio sin reposición del procedimiento).
DERECHO PROCESAL CIVIL,5,"En todos los casos en que haya declaración de rebeldía por no contestar la demanda, se tendrán por confesados los hechos en sentido afirmativo.Falso (Tratándose de asuntos que afecten relaciones familiares o de menores, se tendrán por confesados en sentido negativo)."
DERECHO PROCESAL CIVIL,1,En la audiencia previa de conciliación y de excepciones procesales la primera fase que se desahoga es la relativa a la resolución de excepciones procesales.Falso (Inicia con el análisis de la legitimación de las partes).
DERECHO PROCESAL CIVIL,2,La excepción de incompetencia es susceptible de no resolverse en la audiencia previa de conciliación de conciliación y de excepciones procesales.Verdadero
DERECHO PROCESAL CIVIL,3,La audiencia previa de conciliación y de excepciones procesales está a cargo del Secretario de Acuerdos.Falso (Está a cargo del Secretario Conciliador).
DERECHO PROCESAL CIVIL,4,"En caso de que las partes lleguen a un acuerdo en la fase de conciliación el expediente debe turnarse para dictar la sentencia definitiva.Falso (Debe concluirse en el acto de la audiencia, mediante la celebración de un convenio)."
DERECHO PROCESAL CIVIL,5,Las resoluciones que se dicten en la audiencia previa de conciliación y de excepciones procesales son irrecurribles.Falso (Procede el recurso de apelación).
DERECHO PROCESAL CIVIL,6,En la audiencia previa de conciliación y de excepciones procesales corresponde al Juzgado por conducto del Secretario Conciliador estudiar el asunto y plantear alternativas de solución a las partes.Verdadero
DERECHO PROCESAL CIVIL,7,Los convenios que celebren las partes en la audiencia previa de conciliación y de excepciones procesales tendrán fuerza de cosa juzgada.Verdadero
DERECHO PROCESAL CIVIL,8,La audiencia previa de conciliación y de excepciones procesales debe llevarse a cabo dentro de los diez días siguientes al auto en que se tenga por contestada la demanda.Verdadero
DERECHO PROCESAL CIVIL,9,Las cuestiones relativas a la legitimación procesal deben resolverse una vez concluida la conciliación.Falso (Es la primera fase que se desarrolla).
DERECHO PROCESAL CIVIL,10,El Convenio al que lleguen las partes en la fase de conciliación debe ser aprobado por el juez.Verdadero
DERECHO PROCESAL CIVIL,1,En atención al principio de _____________ las pruebas se deben practicar en audiencia pública.e) Publicidad
DERECHO PROCESAL CIVIL,2,"La ________________ de la prueba, consiste en que cada prueba se debe de realizar, otorgando a las partes la oportunidad de intervenir su ofrecimiento, preparación y desahogo.d) Contradicción"
DERECHO PROCESAL CIVIL,3,"De acuerdo con el principio de _______________ de la prueba, la actividad probatoria no pertenece a quien la realiza, sino que se considera propia del proceso.c) Adquisición"
DERECHO PROCESAL CIVIL,4,"A través de la _________________ es posible la demostración de un hecho falso o verdadero, relevante para el derecho procesal y con consecuencias perjudiciales para las partes.b) Prueba procesal"
DERECHO PROCESAL CIVIL,5,"Para el derecho procesal, la ___________ es un medio determinado por una hipótesis o un hecho, así como por un fin que es verificar la hipótesis o acreditar el hecho.a) Prueba"
DERECHO PROCESAL CIVIL,1,"Por regla general, quien afirma está obligado a probar, de lo que se infiere que quien _____________ no está obligado a probar.Niega"
DERECHO PROCESAL CIVIL,2,La carga de la prueba se invierte en los casos en que quien ___________ también está obligado a probar.Niega
DERECHO PROCESAL CIVIL,3,El ___________ que implica la afirmación de otro hecho debe ser probado.Hecho negativo
DERECHO PROCESAL CIVIL,4,Las diligencias probatorias que ordene el juez tienen como finalidad principal ______________ de los hechos controvertidos.Conocer la verdad
DERECHO PROCESAL CIVIL,5,El sistema de la sana crítica está basado en la _________ y la ____________________.Lógica y experiencia
DERECHO PROCESAL CIVIL,6,El juez tiene la facultad de decretar en cualquier momento la ___________ de cualquier diligencia probatoria.Práctica y ampliación
DERECHO PROCESAL CIVIL,7,La carga de la prueba se distribuye entre _____________.Las partes
DERECHO PROCESAL CIVIL,8,En atención al principio de ____________ las pruebas se deben practicar en audiencia pública.Publicidad
DERECHO PROCESAL CIVIL,9,"La ________________ de la prueba, consiste en que cada prueba se debe de realizar, otorgando a las partes la oportunidad de intervenir su ofrecimiento, preparación y desahogo.Contradicción"
DERECHO PROCESAL CIVIL,10,"De acuerdo con el principio de _______________ de la prueba, la actividad probatoria no pertenece a quien la realiza, sino que se considera propia del proceso.Adquisición"
DERECHO PROCESAL CIVIL,1,Es el imperativo o gravamen que recae sobre las partes para acreditar sus hechos de acuerdo a su propio interés.b) Carga de la prueba
DERECHO PROCESAL CIVIL,2,En un juicio la carga de la prueba se distribuye entre estos sujetos.a) Actor y demandado
DERECHO PROCESAL CIVIL,3,"De acuerdo con el doctor Carrasco Soule, son las razones que justifican la distribución de la carga de la prueba entre las partes.e) Oportunidad e igualdad"
DERECHO PROCESAL CIVIL,4,La regla general en materia probatoria considera que solo los hechos de esta naturaleza deben ser probados.f) Positivos
DERECHO PROCESAL CIVIL,5,La inversión de la carga de la prueba consiste en que este tipo de hechos también deben ser probados.d) Negativos
DERECHO PROCESAL CIVIL,6,Es un ejemplo de inversión de la carga de la prueba.c) Desconocimiento de la capacidad
DERECHO PROCESAL CIVIL,7,"Este principio procesal implica que el juez debe ser quien dirija, sin mediación de nadie, la producción de la prueba.g) Inmediatez"
DERECHO PROCESAL CIVIL,8,Es el nombre que recibe la disciplina que estudia las normas que regulan la actividad demostrativa en el proceso.h) Derecho probatorio
DERECHO PROCESAL CIVIL,9,Este sentido de la carga de la prueba las partes asumen la carga de probar los hechos constitutivos de sus pretensiones.j) Subjetivo
DERECHO PROCESAL CIVIL,10,"Este sentido de la carga de la prueba, implica que, por regla general, solo el que afirma tiene la carga de probar.i) Objetivo"
DERECHO PROCESAL CIVIL,1,Los hechos confesados deben ser ratificados mediante la prueba respectiva.Falso (Los hechos admitidos o confesados por las partes no requieren ser probados).
DERECHO PROCESAL CIVIL,2,"En todos los casos, solo los hechos afirmativos son los que deben ser probados.Falso (Por regla general, los hechos positivos son objeto de prueba no obstante, en la ley se regulan supuestos de excepción a esta regla general, por lo que habrá casos en que los hechos negativos también deban ser probados)."
DERECHO PROCESAL CIVIL,3,Aun los hechos que no tienen relación con la litis deben ser probados para un mejor conocimiento de la verdad.Falso (Solo los hechos materia de prueba litigiosos pueden ser).
DERECHO PROCESAL CIVIL,4,"Cuando se invoca derecho extranjero, corresponde a las partes acreditar al juez el texto, su vigencia, sentido y alcance legal.Falso (Las partes fueron relevadas de probar el derecho extranjero a partir de 1988 corresponde al juez informarse de la existencia del derecho extranjero sin perjuicio de que las partes puedan alegar su existencia y contenido)."
DERECHO PROCESAL CIVIL,5,"La jurisprudencia no está sujeta a prueba.Verdadero (Dadas sus características, la jurisprudencia es obligatoria para todos los tribunales y por tanto están obligados a conocerla sin requerir que las partes demuestren su existencia)."
DERECHO PROCESAL CIVIL,1,"En cualquier proceso, el conflicto o litigio puede recaer sobre estos aspectos.d) Hechos o derecho"
DERECHO PROCESAL CIVIL,2,"De acuerdo con la doctrina, los hechos que las partes argumentan en sus respectivos escritos de demanda y de contestación se clasifican en esta forma.a) Afirmaciones y negaciones"
DERECHO PROCESAL CIVIL,3,"Este tipo de hechos derivan de la existencia, modificación o extinción de una voluntad concreta de la ley.f) Jurídicos"
DERECHO PROCESAL CIVIL,4,Estos hechos sirven de puente para acreditar la existencia de un hecho jurídico.j) Simples
DERECHO PROCESAL CIVIL,5,"Cuando una de las partes se conforma con el hecho argumentado por su contraparte, se configura este tipo de hechos que no requieren ser probados.b) Confesados"
DERECHO PROCESAL CIVIL,6,"Cuando las partes no coinciden en la forma de existencia de un determinado hecho, se originan hechos de esta naturaleza.c) Controvertidos"
DERECHO PROCESAL CIVIL,7,"De acuerdo con el doctor Cipriano Gómez Lara, el objeto de la prueba recae sobre estos elementos, lo que permite hablar de hechos positivos y negativos.h) Jurídicos y simples"
DERECHO PROCESAL CIVIL,8,"El acreditamiento de estos hechos permiten acreditar la acción o, en su caso, la excepción.g) Jurídicos y controvertidos"
DERECHO PROCESAL CIVIL,9,"De acuerdo con el artículo 286 del Código de Procedimientos Civiles para el Distrito Federal, estos hechos no requieren ser probados.i) Notorios"
DERECHO PROCESAL CIVIL,10,"De acuerdo con el artículo 298 del Código de Procedimientos Civiles para el Distrito Federal, respecto de este tipo de hechos no es admisible la prueba.e) Imposibles"
DERECHO PROCESAL CIVIL,1,"En el procedimiento probatorio los plazos para realizar los actos procesales que corresponden a las partes, son determinados por las propias partes.Falso (Los plazos están regulados: el de ofrecimiento de pruebas el de citación para la audiencia de desahogo y el extraordinario para el desahogo de pruebas fuera del Distrito Federal)."
DERECHO PROCESAL CIVIL,2,Las pruebas supervenientes son las que se desconocían al momento de presentación de los escritos de demanda y contestación de esta.Verdadero (También tienen ese carácter las pruebas sobre hechos no sucedidos hasta entonces).
DERECHO PROCESAL CIVIL,3,"Si la parte a quien se concedió la ampliación del término extraordinario de desahogo de pruebas no rinde las pruebas respectivas, se le deberá sancionar.Verdadero (Se le impondrá una sanción pecuniaria y se dejara de recibir las pruebas no rendidas)."
DERECHO PROCESAL CIVIL,4,"Al ofrecerse pruebas se debe expresar el nombre de los testigos a quienes constan los hechos que se relatan.Verdadero (Si no se expresan los nombres de los testigos y posteriormente se ofrece la testimonial, esta no será admitida)."
DERECHO PROCESAL CIVIL,5,"El juez debe desechar las pruebas que se ofrezcan sin cumplir las reglas generales de ofrecimiento, así como las particulares de cada medio probatorio.Verdadero (Si las pruebas se ofrecen cumpliendo dichas reglas, siempre serán admitidas porque se consideran ofrecidas conforme a derecho)."
DERECHO PROCESAL CIVIL,6,"La etapa probatoria se desenvuelve en dos momentos: ofrecimiento y admisión de pruebas.Falso (La etapa probatoria se desarrolla en cuatro momentos, ofrecimiento, admisión, preparación y desahogo de pruebas)."
DERECHO PROCESAL CIVIL,7,"Es requisito para la admisibilidad de las pruebas, que ofrecen las partes, ser ofrecidas conforme a derecho.Verdadero (Al ser ofrecidas conforme a derecho, cumpliendo todos los requisitos previstos en el código procesal, se les considere ofrecidas legalmente y por tanto, admisibles)."
DERECHO PROCESAL CIVIL,8,"Al admitir las pruebas ofrecidas, el juez debe considerar su pertinencia.Verdadero (El Juez sólo debe admitir las pruebas que se relacionan con el objeto de la prueba, con los hechos discutidos y discutibles, así como su idoneidad para probar esos hechos)."
DERECHO PROCESAL CIVIL,9,"La citación a las partes y a los testigos son medidas para preparar las pruebas correspondientes.Verdadero (Con estas medidas pueden prepararse las pruebas de confesión y la testimonial, los actos de preparación dependen de la prueba de que se trate)."
DERECHO PROCESAL CIVIL,10,"Sólo las pruebas documental y de confesión pueden ofrecerse fuera del término probatorio.Verdadero (De acuerdo con los artículos 296 y 308 del Código de Procedimientos Civiles para el Distrito Federal, la prueba documental debe exhibirse en los escritos de demanda y contestación, respectivamente, y la de confesión puede ofrecerse hasta 10 días antes de la audiencia de ley)."
DERECHO PROCESAL CIVIL,1,Es causa para que una prueba no sea admitida:d) Por su ofrecimiento extemporáneo.
DERECHO PROCESAL CIVIL,2,"De acuerdo con el artículo 298 del Código de Procedimientos Civiles para el Distrito Federal, es el recurso procedente para combatir la no admisión de una prueba que fue ofrecida conforme a derecho.b) Apelación."
DERECHO PROCESAL CIVIL,3,Es una regla que el juez debe observar en la audiencia de desahogo de pruebas:c) La continuación del procedimiento.
DERECHO PROCESAL CIVIL,4,"De acuerdo con el artículo 291 del Código de Procedimientos Civiles para el Distrito Federal, es una regla general que debe ser observada en el ofrecimiento de pruebas:b) Relacionar las pruebas con los hechos que se pretendan acreditar."
DERECHO PROCESAL CIVIL,5,Este tipo de pruebas pueden ser ofrecidas fuera del plazo legal establecido:d) Supervenientes.
DERECHO PROCESAL CIVIL,6,Es el acto en el que se desahogan las pruebas admitidas a las partes:a) Audiencia de pruebas y alegatos.
DERECHO PROCESAL CIVIL,7,Es requisito de una prueba documental de carácter superveniente:b) Ser de fecha posterior a los escritos de demanda y contestación.
DERECHO PROCESAL CIVIL,8,Es el acto a cargo del tribunal en el que se determinan las pruebas que se admiten y las que no se admiten:c) Auto sobre admisión de pruebas.
DERECHO PROCESAL CIVIL,9,Es una facultad discrecional del juez al admitir la prueba testimonial.d) Limitar el número de testigos.
DERECHO PROCESAL CIVIL,10,Es el acto que ordena el juez respecto de las pruebas que han sido admitidas:d) Ordenar su preparación.
DERECHO PROCESAL CIVIL,1,"La confesión es el medio probatorio por medio del cual las personas que tengan conocimiento de los hechos controvertidos declaren ante el juez.Falso (La confesión únicamente está a cargo de las partes sobre hechos que les son propios, la declaración de personas diferentes a las partes corresponde a la testimonial)."
DERECHO PROCESAL CIVIL,2,A través de la confesión se busca que el absolvente reconozca los hechos propios que se le atribuyen.Verdadero (La confesión debe recaer sobre hechos propios del absolvente en los que intervino para su existencia).
DERECHO PROCESAL CIVIL,3,"De acuerdo con el artículo 308 del Código de Procedimientos Civiles para el Distrito Federal, la prueba de confesión puede ofrecerse fuera del periodo ordinario de ofrecimiento.Verdadero (La prueba de confesión puede ofrecerse desde los escritos de demanda y contestación hasta 10 días antes de la celebración de la audiencia de ley)."
DERECHO PROCESAL CIVIL,4,"En la confesión por posiciones, estas siempre deben formularse a través del pliego correspondiente.Falso (De acuerdo al artículo 317 del Código de Procedimientos Civiles para el Distrito Federal, en la audiencia de ley pueden formularse posiciones en forma oral o directa)."
DERECHO PROCESAL CIVIL,5,"La confesión únicamente puede obtenerse a través de la formulación de posiciones.Falso (La confesión también puede actualizarse fictamente o bien, en forma extrajudicial)."
DERECHO PROCESAL CIVIL,6,La forma de preparar la prueba confesional es a través de la citación personal al que absolverá posiciones.Verdadero (De acuerdo al artículo 309 del código de Procedimientos Civiles para el Distrito Federal la notificación personal correspondientes deberá practicarse cuando menos con dos días de anticipación a la fecha señalada para la audiencia de ley).
DERECHO PROCESAL CIVIL,7,"Las posiciones que se formulen al absolvente, en todos los casos deberán expresarse en sentido positivo.Falso (De acuerdo al artículo 311 del Código de Procedimientos Civiles para el Distrito Federal, es posible articular posiciones relativas a hechos negativos, siempre que por la íntima relación entre ello, no pueda afirmarse o negarse uno sin negar o afirmar el otro)."
DERECHO PROCESAL CIVIL,8,"En el momento de desahogo de la prueba de confesión, el absolvente debe estar asistido por su abogado patrono.Falso (De acuerdo al artículo 315 del Código de Procedimientos Civiles para el Distrito Federal, no se permite asistencia de ningún tipo para el absolvente)."
DERECHO PROCESAL CIVIL,9,"Por regla general, las posiciones no deben abarcar más de 3 hechos.Falso (Por regla general, las posiciones no deben referirse a más de un hecho)."
DERECHO PROCESAL CIVIL,10,"La citación para el desahogo de la prueba confesional, debe realizarse por lo menos 5 días antes de la fecha señalada para el desahogo de la prueba.Falso (Deberá realizarse por lo menos con dos días de anticipación)."
DERECHO PROCESAL CIVIL,1,Este tipo de impugnación de documento procede cuando se considera que este ha sido alterado voluntariamente en su contenido o firma.B. De falsedad
DERECHO PROCESAL CIVIL,2,Es la forma de otorgar credibilidad a los documentos provenientes del extranjero.C. Legalización
DERECHO PROCESAL CIVIL,3,De esta manera se perfecciona un documento privado para que surta efectos probatorios.E. Reconocimiento
DERECHO PROCESAL CIVIL,4,Esta prueba debe rendirse en todos los casos en que se redarguye de falso un documento.D. Pericial
DERECHO PROCESAL CIVIL,5,Se considera un documento indubitado para el cotejo.A. Actuación judicial
DERECHO PROCESAL CIVIL,1,La prueba electrónica se regula en el artículo 374 del Código de Procedimientos Civiles para el Distrito Federal.Verdadero
DERECHO PROCESAL CIVIL,2,La prueba electrónica solo puede ser documental.Falso (También pueden consistir en imágenes).
DERECHO PROCESAL CIVIL,3,La prueba electrónica puede ser ofrecida mediante hardware o software.Verdadero
DERECHO PROCESAL CIVIL,4,El correo electrónico es un ejemplo de prueba electrónica.Verdadero
DERECHO PROCESAL CIVIL,5,"Por analogía, a las pruebas electrónicas se les deben aplicar las disposiciones relativas a la prueba documental.Falso (Las pruebas electrónicas no solo consisten en documentos)."
DERECHO PROCESAL CIVIL,1,Este requisito es particular del ofrecimiento de la prueba pericial:a) Exhibir el cuestionario que va a resolver el experto con las preguntas necesarias y posteriores adiciones de la contraparte.
DERECHO PROCESAL CIVIL,2,Este requisito es exigible para determinar la admisión de la prueba pericial:c) Que el juez requiera la presencia del perito para ratificar su designación.
DERECHO PROCESAL CIVIL,3,Este requisito debe ser cumplido por el juez previo a admitir la prueba pericial:d) Dar vista a la contraria para que pueda manifestarse respecto a la pertinencia de la prueba.
DERECHO PROCESAL CIVIL,4,"Es la sanción que corresponde en caso de que el perito único, por conformidad de las partes, no rinda su dictamen:a) Deserción de la prueba."
DERECHO PROCESAL CIVIL,5,El nombramiento de este perito tiene lugar cuando los dictámenes rendidos por los peritos de las partes son contradictorios:d) Designación de un perito tercero en discordia.
DERECHO PROCESAL CIVIL,1,"Para la prueba de inspección judicial se requiere que el juez siempre esté auxiliado por un perito.Falso (Únicamente se requiere que el juez vea determinados lugares, cosas o personas a través de los sentidos)."
DERECHO PROCESAL CIVIL,2,"La inspección judicial sólo debe recaer sobre actuaciones judiciales.Falso (Esta prueba puede recaer sobre cosas, lugares, personas)."
DERECHO PROCESAL CIVIL,3,"En determinados casos, cuando es necesario que el juez cuente con conocimientos para apreciar correctamente lo que reconocerá, puede auxiliarse con una prueba pericial.Verdadero (Únicamente cuando el conocimiento de los peritos es fundamental para guiar al juez en su reconocimiento)."
DERECHO PROCESAL CIVIL,4,La prueba de inspección debe ofrecerse llevando al juez al lugar que se pretende reconocer.Falso (Esta prueba debe ofrecerse cumpliendo todos los requisitos aplicables para el ofrecimiento de los demás medios probatorios y los particulares que le apliquen).
DERECHO PROCESAL CIVIL,5,"Cuando se trate del reconocimiento de una persona para conocer sus condiciones físicas o mentales, si la persona se opone a que el juez la inspeccione, debe ofrecerse un medio probatorio diferente.Falso (En caso de oposición al reconocimiento judicial, se tendrán por ciertas las afirmaciones de la contraparte)."
DERECHO PROCESAL CIVIL,1,Los testigos de oídas son los que producen mayor convicción en el juzgador.Falso (Los que producen mayor convicción son los testigos de vista o presenciales).
DERECHO PROCESAL CIVIL,2,Siempre debe ofrecerse un interrogatorio escrito para los testigos.Falso (Es opcional para las partes presentar un interrogatorio escrito o formularlo verbalmente).
DERECHO PROCESAL CIVIL,3,Tanto el oferente como su contraparte pueden repreguntar al testigo.Falso (El oferente formula preguntas directas y la contraparte formula repreguntas a lo declarado por el testigo).
DERECHO PROCESAL CIVIL,4,"A través del incidente de nulidad de actuaciones, las partes pueden atacar el dicho de un testigo.Falso (La vía es incidente de tacha de testigos)."
DERECHO PROCESAL CIVIL,5,"Si un testigo ha sido debidamente citado y no comparece en la fecha y hora señalada a rendir su testimonio, debe ser citado nuevamente.Falso (La prueba se declarará desierta si agotados los medios de apremio no se logra su comparecencia)."
DERECHO PROCESAL CIVIL,1,Es el tipo de testigo que da noticias sobre hechos que confirmen una acusación.e) De cargo
DERECHO PROCESAL CIVIL,2,Este tipo de testigo declara sobre la buena conducta de un procesado.d) De abono
DERECHO PROCESAL CIVIL,3,Este tipo de testigo ha tenido conocimiento de los hechos sobre los que declara de una forma directa por haberlos presenciado.f) De vista
DERECHO PROCESAL CIVIL,4,"Son los testigos cuyas declaraciones son en forma concordante, en cuanto a las circunstancias de tiempo, modo y lugar en que ocurrieron los hechos que presenciaron.b) Contestes"
DERECHO PROCESAL CIVIL,5,Son los testigos discordantes en la parte esencial de su testimonio.c) Contradictorios
DERECHO PROCESAL CIVIL,6,Estas personas están excluidas de la obligación de declarar como testigos.a) Ascendientes
DERECHO PROCESAL CIVIL,7,"De acuerdo con el artículo 291 del Código de Procedimientos Civiles para el Distrito Federal, por regla general, este requisito debe incluirse al ofrecer la prueba testimonial.h) Domicilio de los testigos"
DERECHO PROCESAL CIVIL,8,"De acuerdo con los artículos 255 y 260 del Código de Procedimientos Civiles para el Distrito Federal, los testigos que se pretendan ofrecer como prueba deben ser anunciados en estos actos procesales.g) Demanda y contestación a la demanda"
